Input Prompt,Target Response
What is 11/17?,11/17=0.6470588235294118
" hey, what's3x1?",3x1=3
What is 2-5?,2-5=-3
" hey, what's3x7?",3x7=21
what's7+2?,7+2=9
value of 16x8?,16x8=128
value of 18-16?,18-16=2
What is 12/18?,12/18=0.6666666666666666
what's10-1?,10-1=9
value of 3x9?,3x9=27
" hey, what's5+16?",5+16=21
what's6-19?,6-19=-13
What is 9+11?,9+11=20
What is 18/6?,18/6=3.0
what's9x11?,9x11=99
value of 16x13?,16x13=208
" hey, what's6+1?",6+1=7
What is 17/1?,17/1=17.0
value of 5+16?,5+16=21
" hey, what's7+5?",7+5=12
What is 19+3?,19+3=22
What is 15x5?,15x5=75
What is 1/7?,1/7=0.14285714285714285
what's8+20?,8+20=28
value of 19/10?,19/10=1.9
what's15x6?,15x6=90
What is 1-15?,1-15=-14
" hey, what's5-20?",5-20=-15
value of 14+4?,14+4=18
What is 8-11?,8-11=-3
value of 14/7?,14/7=2.0
value of 10+5?,10+5=15
what's13x5?,13x5=65
What is 6x12?,6x12=72
What is 14-7?,14-7=7
" hey, what's8+3?",8+3=11
" hey, what's3/15?",3/15=0.2
value of 11x6?,11x6=66
value of 19+16?,19+16=35
value of 19-16?,19-16=3
What is 15-4?,15-4=11
" hey, what's18/7?",18/7=2.5714285714285716
What is 20+18?,20+18=38
what's17-10?,17-10=7
" hey, what's21-19?",21-19=2
value of 10+6?,10+6=16
what's16+15?,16+15=31
what's6-15?,6-15=-9
what's18/4?,18/4=4.5
value of 17+14?,17+14=31
What is 18+15?,18+15=33
what's8+8?,8+8=16
What is 1x11?,1x11=11
" hey, what's12x10?",12x10=120
what's1/1?,1/1=1.0
" hey, what's11x20?",11x20=220
What is 19-5?,19-5=14
What is 1+20?,1+20=21
What is 18/10?,18/10=1.8
value of 5x20?,5x20=100
What is 4+1?,4+1=5
" hey, what's21x15?",21x15=315
what's17x19?,17x19=323
" hey, what's4/1?",4/1=4.0
what's12/16?,12/16=0.75
What is 21+4?,21+4=25
what's4x19?,4x19=76
" hey, what's21-9?",21-9=12
value of 5-4?,5-4=1
" hey, what's18-18?",18-18=0
what's17+16?,17+16=33
" hey, what's5+15?",5+15=20
what's14/6?,14/6=2.3333333333333335
" hey, what's15/17?",15/17=0.8823529411764706
value of 17+19?,17+19=36
value of 3-18?,3-18=-15
What is 11/19?,11/19=0.5789473684210527
what's7-15?,7-15=-8
What is 7/9?,7/9=0.7777777777777778
value of 10x16?,10x16=160
what's9x7?,9x7=63
What is 8/11?,8/11=0.7272727272727273
" hey, what's1/4?",1/4=0.25
what's8-17?,8-17=-9
what's7x15?,7x15=105
What is 5x8?,5x8=40
what's19-7?,19-7=12
value of 11+3?,11+3=14
value of 2/14?,2/14=0.14285714285714285
What is 15x3?,15x3=45
What is 11+10?,11+10=21
" hey, what's5+12?",5+12=17
what's15x15?,15x15=225
" hey, what's17+12?",17+12=29
what's1+20?,1+20=21
" hey, what's16x3?",16x3=48
" hey, what's19+10?",19+10=29
value of 8/20?,8/20=0.4
value of 20+7?,20+7=27
value of 1-14?,1-14=-13
What is 9x11?,9x11=99
what's21-7?,21-7=14
what's19+15?,19+15=34
what's1x3?,1x3=3
" hey, what's14+1?",14+1=15
" hey, what's7x3?",7x3=21
" hey, what's21-8?",21-8=13
value of 12-10?,12-10=2
What is 11x6?,11x6=66
value of 14-17?,14-17=-3
value of 11+12?,11+12=23
What is 9-19?,9-19=-10
what's19/9?,19/9=2.111111111111111
what's15x17?,15x17=255
value of 10+11?,10+11=21
what's17/2?,17/2=8.5
" hey, what's19+9?",19+9=28
value of 7x10?,7x10=70
What is 13x16?,13x16=208
what's10/6?,10/6=1.6666666666666667
value of 16+8?,16+8=24
What is 7+16?,7+16=23
What is 13-4?,13-4=9
" hey, what's17-18?",17-18=-1
What is 18+8?,18+8=26
What is 4/9?,4/9=0.4444444444444444
What is 1+14?,1+14=15
value of 11/12?,11/12=0.9166666666666666
what's18x19?,18x19=342
What is 5+6?,5+6=11
" hey, what's1/13?",1/13=0.07692307692307693
What is 3+4?,3+4=7
what's20-16?,20-16=4
what's3+17?,3+17=20
" hey, what's8x18?",8x18=144
" hey, what's21/6?",21/6=3.5
what's14-10?,14-10=4
value of 8+16?,8+16=24
" hey, what's17-7?",17-7=10
What is 9x9?,9x9=81
what's1/11?,1/11=0.09090909090909091
" hey, what's7-7?",7-7=0
" hey, what's12x3?",12x3=36
What is 8x16?,8x16=128
what's17-17?,17-17=0
What is 6/1?,6/1=6.0
" hey, what's18/6?",18/6=3.0
value of 5+19?,5+19=24
What is 17x8?,17x8=136
" hey, what's9+13?",9+13=22
What is 10-12?,10-12=-2
" hey, what's8+14?",8+14=22
" hey, what's16x17?",16x17=272
what's15+14?,15+14=29
What is 16+12?,16+12=28
value of 10x11?,10x11=110
" hey, what's15x17?",15x17=255
What is 16-20?,16-20=-4
What is 12x5?,12x5=60
what's14+1?,14+1=15
What is 8+4?,8+4=12
" hey, what's5-19?",5-19=-14
value of 8+20?,8+20=28
what's3/15?,3/15=0.2
What is 14+19?,14+19=33
What is 8x19?,8x19=152
what's17/5?,17/5=3.4
What is 20+4?,20+4=24
value of 1x13?,1x13=13
what's5+7?,5+7=12
What is 11+1?,11+1=12
value of 5+3?,5+3=8
what's9-4?,9-4=5
" hey, what's21x13?",21x13=273
What is 9+10?,9+10=19
" hey, what's2/5?",2/5=0.4
value of 21+5?,21+5=26
what's14-14?,14-14=0
what's13-12?,13-12=1
What is 6+10?,6+10=16
" hey, what's16-12?",16-12=4
What is 4x16?,4x16=64
value of 2+19?,2+19=21
value of 17/2?,17/2=8.5
what's17/3?,17/3=5.666666666666667
value of 10-4?,10-4=6
what's9+7?,9+7=16
" hey, what's1x10?",1x10=10
" hey, what's21-2?",21-2=19
What is 12x7?,12x7=84
" hey, what's10x14?",10x14=140
" hey, what's12/15?",12/15=0.8
value of 15/15?,15/15=1.0
value of 7/8?,7/8=0.875
" hey, what's4-8?",4-8=-4
" hey, what's2-1?",2-1=1
what's3-12?,3-12=-9
What is 13+10?,13+10=23
" hey, what's5/14?",5/14=0.35714285714285715
What is 3-6?,3-6=-3
" hey, what's10+16?",10+16=26
What is 10/2?,10/2=5.0
what's18/9?,18/9=2.0
" hey, what's10+3?",10+3=13
value of 18/17?,18/17=1.0588235294117647
value of 19+9?,19+9=28
What is 18-1?,18-1=17
What is 1+15?,1+15=16
value of 14/5?,14/5=2.8
value of 19+2?,19+2=21
value of 5x10?,5x10=50
" hey, what's21+7?",21+7=28
value of 5/9?,5/9=0.5555555555555556
what's18/12?,18/12=1.5
what's8x4?,8x4=32
value of 1x4?,1x4=4
value of 21/3?,21/3=7.0
What is 16+8?,16+8=24
what's6x5?,6x5=30
what's18-16?,18-16=2
" hey, what's15/20?",15/20=0.75
what's9/11?,9/11=0.8181818181818182
What is 15+20?,15+20=35
value of 2-18?,2-18=-16
" hey, what's8x1?",8x1=8
value of 11-15?,11-15=-4
What is 9+4?,9+4=13
" hey, what's21x14?",21x14=294
" hey, what's11x19?",11x19=209
what's21-5?,21-5=16
value of 3/3?,3/3=1.0
value of 21/15?,21/15=1.4
what's19-2?,19-2=17
what's8x17?,8x17=136
What is 10-16?,10-16=-6
" hey, what's18-10?",18-10=8
value of 20+17?,20+17=37
" hey, what's16/5?",16/5=3.2
value of 4-8?,4-8=-4
what's15+20?,15+20=35
What is 18-6?,18-6=12
" hey, what's12-8?",12-8=4
What is 5/1?,5/1=5.0
value of 1/5?,1/5=0.2
What is 4x8?,4x8=32
value of 5+15?,5+15=20
" hey, what's17x4?",17x4=68
value of 5+6?,5+6=11
What is 20x5?,20x5=100
" hey, what's2x13?",2x13=26
" hey, what's11+12?",11+12=23
" hey, what's12+19?",12+19=31
value of 8+9?,8+9=17
value of 6/19?,6/19=0.3157894736842105
What is 14/12?,14/12=1.1666666666666667
value of 14x4?,14x4=56
" hey, what's10+1?",10+1=11
What is 1-7?,1-7=-6
What is 7/11?,7/11=0.6363636363636364
value of 18+14?,18+14=32
what's15-16?,15-16=-1
what's12/12?,12/12=1.0
" hey, what's6x19?",6x19=114
What is 2-9?,2-9=-7
What is 4+6?,4+6=10
value of 12+2?,12+2=14
" hey, what's12+15?",12+15=27
What is 9/9?,9/9=1.0
value of 10/9?,10/9=1.1111111111111112
" hey, what's20-9?",20-9=11
What is 15+16?,15+16=31
what's18/20?,18/20=0.9
what's19-16?,19-16=3
" hey, what's20/16?",20/16=1.25
What is 16-16?,16-16=0
value of 21+9?,21+9=30
What is 10-5?,10-5=5
" hey, what's11+16?",11+16=27
what's17-5?,17-5=12
value of 21x19?,21x19=399
value of 12+14?,12+14=26
what's8x7?,8x7=56
What is 18/8?,18/8=2.25
" hey, what's21x6?",21x6=126
What is 7-20?,7-20=-13
value of 18-18?,18-18=0
value of 12/19?,12/19=0.631578947368421
what's8x2?,8x2=16
what's5/14?,5/14=0.35714285714285715
what's21x19?,21x19=399
What is 14-18?,14-18=-4
What is 11-7?,11-7=4
What is 10+15?,10+15=25
What is 6/12?,6/12=0.5
" hey, what's17+18?",17+18=35
what's2+4?,2+4=6
" hey, what's19+19?",19+19=38
What is 3-12?,3-12=-9
" hey, what's16x5?",16x5=80
what's10x11?,10x11=110
value of 8/12?,8/12=0.6666666666666666
" hey, what's3+20?",3+20=23
what's3x9?,3x9=27
what's12x1?,12x1=12
What is 5+9?,5+9=14
What is 6+14?,6+14=20
What is 18x19?,18x19=342
value of 15x20?,15x20=300
What is 5/5?,5/5=1.0
" hey, what's5/13?",5/13=0.38461538461538464
" hey, what's2/6?",2/6=0.3333333333333333
what's4-17?,4-17=-13
value of 17-8?,17-8=9
value of 13+8?,13+8=21
what's17+7?,17+7=24
value of 9x10?,9x10=90
" hey, what's6-12?",6-12=-6
value of 5x11?,5x11=55
" hey, what's6x12?",6x12=72
value of 4/10?,4/10=0.4
what's8+11?,8+11=19
what's18-2?,18-2=16
" hey, what's11x10?",11x10=110
what's10x7?,10x7=70
what's7x2?,7x2=14
" hey, what's3+4?",3+4=7
what's6+3?,6+3=9
value of 19/5?,19/5=3.8
" hey, what's20-12?",20-12=8
What is 11x18?,11x18=198
" hey, what's7/1?",7/1=7.0
what's1x17?,1x17=17
" hey, what's18-11?",18-11=7
value of 9/11?,9/11=0.8181818181818182
" hey, what's15/6?",15/6=2.5
value of 17x15?,17x15=255
" hey, what's11+3?",11+3=14
" hey, what's4x17?",4x17=68
What is 2-8?,2-8=-6
What is 19x19?,19x19=361
what's17-9?,17-9=8
value of 4/3?,4/3=1.3333333333333333
What is 9/19?,9/19=0.47368421052631576
" hey, what's14+13?",14+13=27
what's20x16?,20x16=320
What is 20-1?,20-1=19
what's17-19?,17-19=-2
What is 13-14?,13-14=-1
what's18+20?,18+20=38
" hey, what's16/3?",16/3=5.333333333333333
value of 18+17?,18+17=35
value of 21/19?,21/19=1.105263157894737
What is 7-6?,7-6=1
What is 16+17?,16+17=33
What is 12-4?,12-4=8
" hey, what's15-3?",15-3=12
" hey, what's8x4?",8x4=32
What is 21/5?,21/5=4.2
What is 12/19?,12/19=0.631578947368421
value of 15/20?,15/20=0.75
what's6-13?,6-13=-7
" hey, what's13/14?",13/14=0.9285714285714286
what's4-15?,4-15=-11
what's3/12?,3/12=0.25
what's21/2?,21/2=10.5
what's10/3?,10/3=3.3333333333333335
" hey, what's4+5?",4+5=9
value of 9x8?,9x8=72
value of 10+18?,10+18=28
what's21/1?,21/1=21.0
what's13x11?,13x11=143
" hey, what's7+2?",7+2=9
" hey, what's4+17?",4+17=21
What is 17/8?,17/8=2.125
What is 14+6?,14+6=20
What is 11x9?,11x9=99
What is 14/4?,14/4=3.5
" hey, what's10x2?",10x2=20
value of 4+13?,4+13=17
" hey, what's7/19?",7/19=0.3684210526315789
What is 7/10?,7/10=0.7
value of 12-1?,12-1=11
" hey, what's7+10?",7+10=17
What is 16-3?,16-3=13
value of 18x10?,18x10=180
value of 17-5?,17-5=12
What is 10-10?,10-10=0
" hey, what's15x11?",15x11=165
" hey, what's20/11?",20/11=1.8181818181818181
" hey, what's5+5?",5+5=10
what's9-20?,9-20=-11
value of 1-4?,1-4=-3
what's14x3?,14x3=42
what's4-10?,4-10=-6
what's10/15?,10/15=0.6666666666666666
What is 5-18?,5-18=-13
what's21+18?,21+18=39
" hey, what's21+3?",21+3=24
" hey, what's16x7?",16x7=112
what's19x16?,19x16=304
" hey, what's7-12?",7-12=-5
what's18+18?,18+18=36
what's7x5?,7x5=35
what's6-16?,6-16=-10
What is 12x18?,12x18=216
" hey, what's11x15?",11x15=165
" hey, what's11x1?",11x1=11
what's19-18?,19-18=1
what's4x9?,4x9=36
value of 18/5?,18/5=3.6
" hey, what's2-16?",2-16=-14
value of 4x19?,4x19=76
value of 12x19?,12x19=228
What is 15x2?,15x2=30
What is 4x19?,4x19=76
" hey, what's6-20?",6-20=-14
value of 10x4?,10x4=40
what's14-12?,14-12=2
" hey, what's2+12?",2+12=14
What is 4x10?,4x10=40
value of 4-13?,4-13=-9
what's3x18?,3x18=54
value of 3x4?,3x4=12
What is 13+14?,13+14=27
what's2+18?,2+18=20
" hey, what's12/17?",12/17=0.7058823529411765
What is 18/20?,18/20=0.9
what's9/8?,9/8=1.125
" hey, what's10-7?",10-7=3
value of 20+13?,20+13=33
" hey, what's8x17?",8x17=136
" hey, what's21+10?",21+10=31
value of 18+6?,18+6=24
" hey, what's17-20?",17-20=-3
what's18-17?,18-17=1
what's16/14?,16/14=1.1428571428571428
" hey, what's13-4?",13-4=9
what's4/9?,4/9=0.4444444444444444
what's14+13?,14+13=27
What is 5-3?,5-3=2
value of 17+11?,17+11=28
value of 15x19?,15x19=285
what's20-10?,20-10=10
What is 5x10?,5x10=50
value of 13/7?,13/7=1.8571428571428572
What is 16/16?,16/16=1.0
value of 10+10?,10+10=20
What is 15/12?,15/12=1.25
What is 14x13?,14x13=182
value of 10x2?,10x2=20
What is 10-20?,10-20=-10
What is 2+11?,2+11=13
value of 10/15?,10/15=0.6666666666666666
" hey, what's5x5?",5x5=25
value of 14-16?,14-16=-2
what's16+14?,16+14=30
What is 13/10?,13/10=1.3
What is 15x10?,15x10=150
What is 13x5?,13x5=65
" hey, what's12+18?",12+18=30
" hey, what's5-14?",5-14=-9
What is 10+10?,10+10=20
value of 5+17?,5+17=22
what's3-19?,3-19=-16
value of 21+19?,21+19=40
what's5x12?,5x12=60
What is 19-9?,19-9=10
" hey, what's13+19?",13+19=32
" hey, what's10/5?",10/5=2.0
What is 18x10?,18x10=180
value of 20x9?,20x9=180
what's4x2?,4x2=8
value of 3/19?,3/19=0.15789473684210525
what's6x18?,6x18=108
" hey, what's8/12?",8/12=0.6666666666666666
" hey, what's17+19?",17+19=36
what's11+1?,11+1=12
value of 8+14?,8+14=22
What is 6/3?,6/3=2.0
What is 4/5?,4/5=0.8
value of 7-5?,7-5=2
" hey, what's13+9?",13+9=22
value of 10+9?,10+9=19
What is 6+16?,6+16=22
value of 10/10?,10/10=1.0
" hey, what's12+7?",12+7=19
what's11/7?,11/7=1.5714285714285714
What is 11/2?,11/2=5.5
what's10+20?,10+20=30
" hey, what's1x19?",1x19=19
what's14x1?,14x1=14
What is 18+14?,18+14=32
" hey, what's14-18?",14-18=-4
what's7-19?,7-19=-12
what's8+13?,8+13=21
what's14/18?,14/18=0.7777777777777778
value of 14+1?,14+1=15
" hey, what's6+14?",6+14=20
what's10/8?,10/8=1.25
what's18/8?,18/8=2.25
What is 14x8?,14x8=112
" hey, what's13/8?",13/8=1.625
value of 18-3?,18-3=15
value of 3/4?,3/4=0.75
What is 10x4?,10x4=40
what's2-7?,2-7=-5
What is 7/14?,7/14=0.5
What is 11x17?,11x17=187
value of 10-6?,10-6=4
value of 3/18?,3/18=0.16666666666666666
value of 13x16?,13x16=208
" hey, what's8+8?",8+8=16
" hey, what's1-2?",1-2=-1
" hey, what's3+16?",3+16=19
value of 9/18?,9/18=0.5
what's13/4?,13/4=3.25
value of 7-9?,7-9=-2
What is 21/1?,21/1=21.0
value of 10x5?,10x5=50
what's17/11?,17/11=1.5454545454545454
what's1x14?,1x14=14
What is 11/14?,11/14=0.7857142857142857
value of 14x7?,14x7=98
what's8+19?,8+19=27
" hey, what's18/8?",18/8=2.25
" hey, what's18-8?",18-8=10
What is 10/1?,10/1=10.0
value of 7x18?,7x18=126
What is 13-7?,13-7=6
value of 19x20?,19x20=380
What is 4/15?,4/15=0.26666666666666666
value of 18/18?,18/18=1.0
" hey, what's11/18?",11/18=0.6111111111111112
what's21/20?,21/20=1.05
value of 19-11?,19-11=8
value of 13/2?,13/2=6.5
what's16/19?,16/19=0.8421052631578947
What is 6-16?,6-16=-10
what's8-4?,8-4=4
what's19x4?,19x4=76
What is 3/19?,3/19=0.15789473684210525
What is 7+12?,7+12=19
value of 9/20?,9/20=0.45
value of 13/13?,13/13=1.0
What is 6+1?,6+1=7
" hey, what's17x1?",17x1=17
what's10x13?,10x13=130
value of 7/4?,7/4=1.75
What is 14x20?,14x20=280
What is 13-12?,13-12=1
" hey, what's2/2?",2/2=1.0
" hey, what's18+16?",18+16=34
what's11/16?,11/16=0.6875
what's1-20?,1-20=-19
What is 14/15?,14/15=0.9333333333333333
what's19x11?,19x11=209
" hey, what's10+9?",10+9=19
" hey, what's15+7?",15+7=22
what's5+3?,5+3=8
what's19-12?,19-12=7
value of 3-19?,3-19=-16
what's15/3?,15/3=5.0
What is 3+14?,3+14=17
what's20/6?,20/6=3.3333333333333335
" hey, what's20x15?",20x15=300
" hey, what's17-12?",17-12=5
what's16x3?,16x3=48
" hey, what's13/12?",13/12=1.0833333333333333
" hey, what's21-7?",21-7=14
what's15-17?,15-17=-2
what's20x7?,20x7=140
what's15/14?,15/14=1.0714285714285714
what's13+9?,13+9=22
What is 5/16?,5/16=0.3125
What is 21x1?,21x1=21
value of 2/19?,2/19=0.10526315789473684
What is 6-2?,6-2=4
What is 14-2?,14-2=12
" hey, what's16+7?",16+7=23
what's7+14?,7+14=21
" hey, what's17x15?",17x15=255
value of 11x7?,11x7=77
value of 7x6?,7x6=42
" hey, what's1+2?",1+2=3
value of 21/4?,21/4=5.25
what's3/1?,3/1=3.0
What is 14+9?,14+9=23
what's1/9?,1/9=0.1111111111111111
What is 15/7?,15/7=2.142857142857143
value of 11+17?,11+17=28
what's13-11?,13-11=2
What is 21x13?,21x13=273
what's10/19?,10/19=0.5263157894736842
value of 9x9?,9x9=81
value of 14+5?,14+5=19
" hey, what's12+4?",12+4=16
what's12-18?,12-18=-6
value of 18x16?,18x16=288
value of 18/6?,18/6=3.0
" hey, what's15+18?",15+18=33
value of 21/13?,21/13=1.6153846153846154
" hey, what's13x20?",13x20=260
what's9+9?,9+9=18
what's20x18?,20x18=360
" hey, what's20-3?",20-3=17
What is 14x18?,14x18=252
value of 6+12?,6+12=18
value of 9+5?,9+5=14
" hey, what's20/8?",20/8=2.5
value of 20/16?,20/16=1.25
value of 17-14?,17-14=3
What is 16-17?,16-17=-1
what's16/2?,16/2=8.0
What is 13x12?,13x12=156
what's21-1?,21-1=20
" hey, what's17x14?",17x14=238
What is 2x5?,2x5=10
value of 8+13?,8+13=21
what's5/1?,5/1=5.0
what's7/19?,7/19=0.3684210526315789
" hey, what's18x6?",18x6=108
what's10+9?,10+9=19
value of 15-12?,15-12=3
" hey, what's2x15?",2x15=30
what's18x9?,18x9=162
What is 11x10?,11x10=110
value of 5-9?,5-9=-4
value of 18-11?,18-11=7
" hey, what's5+9?",5+9=14
What is 14-14?,14-14=0
" hey, what's5+1?",5+1=6
what's10/4?,10/4=2.5
value of 11x10?,11x10=110
what's13-16?,13-16=-3
" hey, what's2+18?",2+18=20
value of 3/15?,3/15=0.2
value of 3x3?,3x3=9
" hey, what's13-1?",13-1=12
value of 13/3?,13/3=4.333333333333333
" hey, what's14-4?",14-4=10
value of 14+12?,14+12=26
What is 6/13?,6/13=0.46153846153846156
" hey, what's10x19?",10x19=190
" hey, what's21x5?",21x5=105
" hey, what's2-3?",2-3=-1
What is 1x14?,1x14=14
What is 20-11?,20-11=9
value of 19/14?,19/14=1.3571428571428572
value of 14+15?,14+15=29
What is 17+19?,17+19=36
what's5x8?,5x8=40
What is 19+10?,19+10=29
What is 2x15?,2x15=30
What is 15x1?,15x1=15
what's5-19?,5-19=-14
" hey, what's19+14?",19+14=33
" hey, what's10-3?",10-3=7
What is 13/1?,13/1=13.0
what's1-1?,1-1=0
" hey, what's1x11?",1x11=11
what's1/3?,1/3=0.3333333333333333
value of 8-15?,8-15=-7
What is 11x12?,11x12=132
" hey, what's21/7?",21/7=3.0
" hey, what's17/11?",17/11=1.5454545454545454
" hey, what's1x17?",1x17=17
What is 13-1?,13-1=12
value of 8-6?,8-6=2
value of 10/14?,10/14=0.7142857142857143
value of 16+9?,16+9=25
What is 8-10?,8-10=-2
what's11/15?,11/15=0.7333333333333333
value of 3/12?,3/12=0.25
what's5+10?,5+10=15
" hey, what's13/11?",13/11=1.1818181818181819
what's18+11?,18+11=29
What is 9+19?,9+19=28
" hey, what's2/11?",2/11=0.18181818181818182
" hey, what's14-16?",14-16=-2
" hey, what's9/20?",9/20=0.45
" hey, what's16/10?",16/10=1.6
value of 14/15?,14/15=0.9333333333333333
What is 11/7?,11/7=1.5714285714285714
what's12-2?,12-2=10
" hey, what's2x9?",2x9=18
" hey, what's11-19?",11-19=-8
value of 6+4?,6+4=10
What is 3x13?,3x13=39
" hey, what's1+17?",1+17=18
" hey, what's11x18?",11x18=198
what's5+17?,5+17=22
" hey, what's18/12?",18/12=1.5
" hey, what's11-4?",11-4=7
" hey, what's9x11?",9x11=99
" hey, what's9x10?",9x10=90
what's16-17?,16-17=-1
what's2x12?,2x12=24
what's20/9?,20/9=2.2222222222222223
What is 8+20?,8+20=28
what's18/18?,18/18=1.0
What is 20/8?,20/8=2.5
" hey, what's10/13?",10/13=0.7692307692307693
What is 11+9?,11+9=20
" hey, what's10+10?",10+10=20
" hey, what's19/15?",19/15=1.2666666666666666
what's17+17?,17+17=34
What is 11/3?,11/3=3.6666666666666665
What is 12-18?,12-18=-6
value of 17+12?,17+12=29
value of 13+19?,13+19=32
value of 19-3?,19-3=16
What is 2-12?,2-12=-10
" hey, what's11/14?",11/14=0.7857142857142857
" hey, what's6x20?",6x20=120
value of 6+20?,6+20=26
What is 5x12?,5x12=60
value of 18+4?,18+4=22
value of 5+8?,5+8=13
what's8-5?,8-5=3
" hey, what's6/4?",6/4=1.5
value of 6/18?,6/18=0.3333333333333333
" hey, what's1/10?",1/10=0.1
value of 18x7?,18x7=126
value of 1x20?,1x20=20
" hey, what's12+14?",12+14=26
value of 21+2?,21+2=23
what's15+15?,15+15=30
what's6+5?,6+5=11
" hey, what's12x14?",12x14=168
What is 3/9?,3/9=0.3333333333333333
What is 15+2?,15+2=17
" hey, what's8+20?",8+20=28
What is 21/14?,21/14=1.5
what's13-13?,13-13=0
what's8/20?,8/20=0.4
what's11x7?,11x7=77
" hey, what's4x11?",4x11=44
What is 5+16?,5+16=21
value of 19/12?,19/12=1.5833333333333333
What is 15/20?,15/20=0.75
What is 18-7?,18-7=11
what's13-3?,13-3=10
What is 18-20?,18-20=-2
What is 7-13?,7-13=-6
what's18+3?,18+3=21
value of 17x12?,17x12=204
what's19-8?,19-8=11
what's6x20?,6x20=120
What is 8x9?,8x9=72
what's20x4?,20x4=80
" hey, what's15-9?",15-9=6
What is 21-10?,21-10=11
" hey, what's16-4?",16-4=12
What is 2+15?,2+15=17
What is 20x11?,20x11=220
" hey, what's11x3?",11x3=33
What is 4+4?,4+4=8
What is 13-20?,13-20=-7
" hey, what's8/6?",8/6=1.3333333333333333
value of 11x18?,11x18=198
what's14+16?,14+16=30
What is 10-2?,10-2=8
What is 8+15?,8+15=23
what's7+20?,7+20=27
" hey, what's6-16?",6-16=-10
value of 7-4?,7-4=3
value of 21-3?,21-3=18
value of 9x17?,9x17=153
what's21x13?,21x13=273
what's5/20?,5/20=0.25
" hey, what's5/15?",5/15=0.3333333333333333
" hey, what's18/11?",18/11=1.6363636363636365
what's3x14?,3x14=42
" hey, what's18+5?",18+5=23
What is 15-18?,15-18=-3
" hey, what's8+10?",8+10=18
What is 11+17?,11+17=28
What is 3/17?,3/17=0.17647058823529413
value of 8/10?,8/10=0.8
value of 17+15?,17+15=32
value of 2-3?,2-3=-1
What is 6x19?,6x19=114
What is 4-13?,4-13=-9
" hey, what's7-9?",7-9=-2
What is 7/4?,7/4=1.75
" hey, what's19/1?",19/1=19.0
value of 5-2?,5-2=3
value of 11/15?,11/15=0.7333333333333333
what's6+6?,6+6=12
What is 9/8?,9/8=1.125
value of 4x5?,4x5=20
value of 10-2?,10-2=8
" hey, what's7-6?",7-6=1
what's3x13?,3x13=39
what's10x6?,10x6=60
what's10+5?,10+5=15
What is 9x1?,9x1=9
what's15/8?,15/8=1.875
what's9x4?,9x4=36
What is 20/5?,20/5=4.0
" hey, what's17x9?",17x9=153
What is 6x3?,6x3=18
" hey, what's17/8?",17/8=2.125
" hey, what's15+17?",15+17=32
" hey, what's17x5?",17x5=85
" hey, what's7x14?",7x14=98
what's8-19?,8-19=-11
value of 6x13?,6x13=78
what's12/19?,12/19=0.631578947368421
what's21+15?,21+15=36
what's2+5?,2+5=7
What is 20x15?,20x15=300
value of 10x18?,10x18=180
" hey, what's15-10?",15-10=5
What is 21-20?,21-20=1
value of 6-17?,6-17=-11
value of 13-12?,13-12=1
" hey, what's21-20?",21-20=1
value of 16/5?,16/5=3.2
what's14x10?,14x10=140
value of 14x12?,14x12=168
what's4-9?,4-9=-5
" hey, what's5+10?",5+10=15
what's9+8?,9+8=17
value of 15-16?,15-16=-1
value of 11-12?,11-12=-1
what's16-4?,16-4=12
" hey, what's19+15?",19+15=34
What is 11/4?,11/4=2.75
value of 3+8?,3+8=11
what's17x5?,17x5=85
what's2+9?,2+9=11
what's4-6?,4-6=-2
What is 20/17?,20/17=1.1764705882352942
value of 3x15?,3x15=45
value of 6x5?,6x5=30
value of 17+2?,17+2=19
What is 16/13?,16/13=1.2307692307692308
" hey, what's19+4?",19+4=23
" hey, what's19+1?",19+1=20
" hey, what's11/13?",11/13=0.8461538461538461
What is 11+15?,11+15=26
What is 5-12?,5-12=-7
" hey, what's3x17?",3x17=51
" hey, what's14+20?",14+20=34
value of 21-20?,21-20=1
What is 15+17?,15+17=32
value of 9-1?,9-1=8
What is 10/6?,10/6=1.6666666666666667
value of 15+19?,15+19=34
What is 14/10?,14/10=1.4
" hey, what's14+11?",14+11=25
value of 21-17?,21-17=4
" hey, what's2+1?",2+1=3
" hey, what's14x15?",14x15=210
value of 14-5?,14-5=9
what's18+4?,18+4=22
What is 14-3?,14-3=11
" hey, what's4/4?",4/4=1.0
" hey, what's9x9?",9x9=81
value of 2+16?,2+16=18
value of 8+10?,8+10=18
value of 5-19?,5-19=-14
What is 18/15?,18/15=1.2
value of 12+12?,12+12=24
" hey, what's8x16?",8x16=128
value of 8-10?,8-10=-2
value of 18-12?,18-12=6
what's7x11?,7x11=77
what's13x9?,13x9=117
what's19-13?,19-13=6
" hey, what's11-18?",11-18=-7
what's13/1?,13/1=13.0
value of 15+2?,15+2=17
value of 15/10?,15/10=1.5
value of 21-19?,21-19=2
value of 21/9?,21/9=2.3333333333333335
what's13/6?,13/6=2.1666666666666665
What is 14+1?,14+1=15
what's6+9?,6+9=15
what's19/6?,19/6=3.1666666666666665
value of 17+17?,17+17=34
what's5/17?,5/17=0.29411764705882354
" hey, what's13-9?",13-9=4
value of 19+20?,19+20=39
what's1x2?,1x2=2
" hey, what's17+6?",17+6=23
value of 19/4?,19/4=4.75
" hey, what's13-7?",13-7=6
What is 21-7?,21-7=14
value of 21/6?,21/6=3.5
value of 8-19?,8-19=-11
